bayesCor,utteranceCor,wheelCor,negFacePosWheelBayes,negFacePosWheelFace,negFacePosWheelWheel,posFaceNegWheelBayes,posFaceNegWheelFace,posFaceNegWheelWheel,rmseBayes,rmseFace,rmseWheel,rmseNegFacePosWheelBayes,rmseNegFacePosWheelFace,rmseNegFacePosWheelWheel,rmsePosFaceNegWheelBayes,rmsePosFaceNegWheelFace,rmsePosFaceNegWheelWheel
0.753929006,0.556177416,0.697603393,0.784727627,-0.156339506,0.788022586,0.539447885,0.35994457,0.515879113,1.426216037,1.865677497,1.544611529,1.349912555,2.797088891,1.571345401,1.705900738,2.543654352,1.707133556
0.695862732,0.580527993,0.62462059,0.721534841,-0.12391492,0.704384732,0.463362655,0.423260743,0.402747056,1.609231381,1.856075895,1.72186976,1.623674134,2.919650133,1.885877586,1.876155911,2.510234318,1.868094731
0.75638447,0.58364516,0.681672042,0.76760248,-0.178368178,0.805277409,0.567380867,0.44297405,0.55227429,1.423912279,1.82201041,1.5932785,1.548282101,3.106303001,1.543883337,1.637732901,2.329900481,1.552185463
0.747632358,0.548314388,0.697800635,0.765584186,-0.12067195,0.772394838,0.534956787,0.279559055,0.591853201,1.479657142,1.954778254,1.59415233,1.548444247,3.067715528,1.743377802,1.698630714,2.74191003,1.570137005
0.70779858,0.561343165,0.654205505,0.790895251,-0.095985571,0.765560105,0.507336463,0.44240245,0.427983974,1.55461156,1.833859789,1.682384281,1.468100317,2.835263576,1.756294282,1.850026259,2.370639762,1.942077992
0.764727105,0.613326064,0.667022941,0.78750837,-0.078458914,0.755890608,0.453710267,0.38332786,0.400058092,1.407397215,1.778437186,1.616807242,1.393660442,2.777030686,1.72510599,1.874676071,2.542534897,1.759197113
0.741888574,0.564495923,0.676241156,0.764566259,-0.176971523,0.75183364,0.557994119,0.44132525,0.447188389,1.477294729,1.889590515,1.604972599,1.463225145,3.018540587,1.682660241,1.697956502,2.390465999,1.884191678
0.73085457,0.579734356,0.65562994,0.763244093,-0.133692235,0.754559378,0.544548092,0.408312002,0.638004071,1.513575502,1.811952577,1.661590431,1.419797263,2.705438741,1.714546101,1.842069767,2.46060596,1.620547007
0.697874782,0.508111172,0.656479605,0.767840603,-0.194983449,0.762629991,0.478146612,0.311795965,0.514781577,1.583185014,1.982938946,1.610632125,1.545490242,3.016990093,1.624693792,1.918392828,2.657037373,1.675777618
0.741895757,0.544545482,0.683329911,0.810740381,-0.163517736,0.804788373,0.505872797,0.433385679,0.387973378,1.450140391,1.893784026,1.563243687,1.367050017,3.003060155,1.535116409,1.756899823,2.359360829,1.84260562
0.680235787,0.52653655,0.628716198,0.817794841,-0.167689292,0.77053679,0.486338722,0.400523409,0.488601155,1.591362503,1.88106932,1.66394888,1.263955173,2.807389563,1.577529733,1.786714833,2.42321603,1.783409459
0.704296758,0.560103542,0.635486431,0.76748475,-0.075499473,0.748774962,0.574198516,0.458312708,0.436467728,1.545150577,1.824521577,1.641011399,1.451539645,2.700418943,1.663616857,1.725544555,2.385994576,1.878700761
0.76906551,0.606784456,0.665712301,0.779213337,-0.082279784,0.747645925,0.572113013,0.405887844,0.507130404,1.384311045,1.760183366,1.627791189,1.435719317,2.748051443,1.765743012,1.654819935,2.406305802,1.740730828
0.738766155,0.539159679,0.703484269,0.778843046,-0.056683344,0.744327138,0.498034153,0.382181318,0.591007817,1.523266943,1.988523053,1.560219911,1.498967117,2.882842894,1.767101022,1.82070463,2.604128353,1.540097538
0.709328798,0.496398618,0.672716201,0.831261611,-0.206387215,0.816444368,0.47671447,0.270395554,0.604576686,1.54782597,1.995112055,1.592155188,1.184119892,2.848149516,1.539835227,1.901439628,2.85203083,1.614340916
0.756206633,0.57364459,0.674592105,0.764891961,-0.190441885,0.766482008,0.550252771,0.407689697,0.451283135,1.453026561,1.875119566,1.620223323,1.569141868,3.119238741,1.709607192,1.819813341,2.514770443,1.868444742
0.754579478,0.591928546,0.681880758,0.774618944,-0.174457421,0.76957455,0.566379365,0.397256095,0.484929911,1.454833722,1.835718861,1.607747918,1.45222725,2.991935962,1.684304247,1.752625729,2.524568741,1.811055564
0.736809301,0.577345383,0.684428524,0.808464434,-0.240607457,0.828643813,0.573616205,0.457932099,0.482583083,1.48271524,1.804139219,1.58612856,1.438392931,3.097602389,1.47829957,1.66141063,2.331469912,1.767916921
0.721601198,0.560290159,0.684638666,0.832360605,-0.150743054,0.80604826,0.416565602,0.359778073,0.545169425,1.525926336,1.85029,1.580623818,1.299831725,2.920173089,1.543242293,2.139754543,2.598342986,1.77939551
0.729473659,0.557077626,0.68495864,0.798282085,-0.148546525,0.764813189,0.335981326,0.191377768,0.490992035,1.535592391,1.882756206,1.606171152,1.415558129,2.929564342,1.726088985,2.150226815,2.793733771,1.712956595
0.734438386,0.544018489,0.681641817,0.775883756,-0.24359111,0.77227463,0.473474407,0.301008917,0.553275224,1.4615391,1.874544599,1.553919336,1.477915257,3.019928603,1.631581586,1.759863766,2.596823677,1.517578691
0.758938097,0.582749836,0.688241055,0.783433515,-0.082337004,0.75408069,0.599600377,0.429349904,0.540063691,1.40718283,1.797551601,1.585875845,1.460639515,2.824351343,1.741535933,1.623348448,2.394450034,1.722294832
0.753165948,0.603055558,0.683965989,0.800543303,-0.114170693,0.771166148,0.5377762,0.393299011,0.512822691,1.440238749,1.774431348,1.576590809,1.277849387,2.676142932,1.666034235,1.741397995,2.578762549,1.663249357
0.728598215,0.582736539,0.661565279,0.713489784,-0.038337576,0.676456342,0.639701199,0.447383589,0.525342628,1.511636554,1.842669231,1.634068397,1.529017392,2.621565457,1.886568019,1.623002152,2.457842233,1.864856715
0.763470704,0.610545097,0.693285379,0.785014464,-0.072177499,0.75588241,0.602631362,0.513291998,0.43356066,1.399535637,1.768523467,1.557216443,1.337164645,2.689410522,1.67738202,1.610144196,2.28527683,1.856816044
0.733584379,0.565138686,0.660937274,0.813264419,-0.268465967,0.820559515,0.550877284,0.423794875,0.496278984,1.444964154,1.806435645,1.573118778,1.263342419,2.965237052,1.461008339,1.611076942,2.398559713,1.636541651
0.746608313,0.584420477,0.6885302,0.802537029,-0.113664252,0.831005084,0.639714959,0.476694555,0.557023522,1.440801937,1.792723323,1.560768143,1.342431926,2.839315088,1.429214151,1.5495522,2.320296644,1.692175159
0.697142342,0.553108899,0.647428126,0.759819119,-0.233348264,0.773378058,0.39570943,0.362047659,0.414341336,1.574370677,1.854616502,1.650753236,1.518529958,2.938969369,1.663662351,1.948304393,2.502725072,1.787263045
