"workerid","IRIPT","IRIEC","ERQApp","ERQSupp","LSAS","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","angleProp","reactionTime","utteranceID","occludeUtterance","occludeWheel","happy","sad","anger","surprise","disgust","fear","content","disapp","EV","PE","absPE"
138,14,13,18,19,6,41,0,40,95,0.27,0.4,0.33,40,0.4,0.72,29304,10,1,0,7,1,1,2,1,1,7,3,47.35,-7.35,7.35
87,20,19,23,23,8,9,15,70,80,0.45,0.29,0.26,80,0.26,0.262,25600,8,0,1,1,7,1,1,1,1,1,9,47.85,32.15,32.15
8,20,20,4,22,0,49,50,75,90,0.3,0.52,0.18,50,0.3,0.771,15677,9,1,0,3,5,4,7,3,1,1,8,70.2,-20.2,20.2
110,15,13,20,15,9,32,45,60,90,0.52,0.29,0.19,60,0.29,0.956,30276,5,0,1,5,5,5,5,5,1,5,5,57.9,2.1,2.1
95,13,13,20,18,9,49,50,75,90,0.3,0.52,0.18,50,0.3,0.796,27910,1,0,1,9,1,1,8,1,1,8,1,70.2,-20.2,20.2
67,7,15,19,19,14,1,0,30,60,0.38,0.36,0.26,0,0.38,0.771,45856,6,0,1,1,8,1,1,9,1,1,9,26.4,-26.4,26.4
140,13,13,17,18,8,1,0,30,60,0.38,0.36,0.26,0,0.38,0.707,24815,8,1,0,2,9,7,6,8,1,3,9,26.4,-26.4,26.4
147,11,14,18,10,7,12,20,45,70,0.4,0.34,0.26,70,0.26,0.065,22199,5,1,0,9,1,1,4,1,1,8,1,41.5,28.5,28.5
83,15,15,16,14,3,49,50,75,90,0.3,0.52,0.18,50,0.3,0.985,28998,4,0,1,7,3,2,6,2,1,5,3,70.2,-20.2,20.2
62,14,13,16,17,2,12,20,45,70,0.4,0.34,0.26,70,0.26,0.516,16473,6,1,0,9,1,1,7,1,1,8,1,41.5,28.5,28.5
