"workerid","IRIPT","IRIEC","ERQApp","ERQSupp","LSAS","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","angleProp","reactionTime","utteranceID","occludeUtterance","occludeWheel","happy","sad","anger","surprise","disgust","fear","content","disapp","EV","PE","absPE"
148,14,10,18,14,9,49,50,75,90,0.3,0.52,0.18,50,0.3,0.67,15016,9,1,0,2,5,5,5,3,4,3,5,70.2,-20.2,20.2
51,18,20,23,19,7,9,15,70,80,0.45,0.29,0.26,80,0.26,0.387,29337,8,0,1,3,7,7,1,8,1,7,9,47.85,32.15,32.15
29,13,16,15,20,11,24,20,60,90,0.33,0.2,0.47,90,0.47,0.538,32699,9,0,0,9,1,1,8,1,1,7,1,60.9,29.1,29.1
120,15,14,15,11,7,12,20,45,70,0.4,0.34,0.26,70,0.26,0.468,13668,2,1,0,3,4,2,6,6,3,6,7,41.5,28.5,28.5
106,15,15,20,11,11,47,55,70,85,0.28,0.51,0.21,70,0.51,0.766,13941,4,0,0,9,1,1,5,1,1,1,1,68.95,1.05,1.05
7,16,14,17,17,9,24,20,60,90,0.33,0.2,0.47,90,0.47,0.471,27293,3,1,0,8,1,1,5,1,1,5,1,60.9,29.1,29.1
24,19,19,24,12,4,16,25,60,100,0.45,0.37,0.18,25,0.45,0.068,44695,4,0,1,6,4,1,4,1,1,4,3,51.45,-26.45,26.45
146,11,12,20,13,0,14,30,50,95,0.33,0.29,0.38,50,0.29,0.995,32110,10,0,0,3,3,2,2,2,2,2,7,60.5,-10.5,10.5
71,13,5,28,17,2,47,55,70,85,0.28,0.51,0.21,70,0.51,0.209,24009,4,0,0,7,1,1,7,2,1,7,7,68.95,1.05,1.05
119,17,16,18,4,4,24,20,60,90,0.33,0.2,0.47,90,0.47,0.591,23255,10,0,1,2,2,1,9,1,1,1,3,60.9,29.1,29.1
37,11,14,23,22,11,9,15,70,80,0.45,0.29,0.26,80,0.26,0.273,17950,5,0,0,9,1,1,9,1,1,9,1,47.85,32.15,32.15
44,17,16,25,15,6,49,50,75,90,0.3,0.52,0.18,50,0.3,0.126,36994,3,0,0,6,1,1,5,1,1,3,1,70.2,-20.2,20.2
94,14,17,21,15,7,9,15,70,80,0.45,0.29,0.26,80,0.26,0.741,24054,10,1,0,9,1,1,8,1,1,9,1,47.85,32.15,32.15
141,13,13,17,22,3,14,30,50,95,0.33,0.29,0.38,50,0.29,0.899,24115,9,1,0,6,1,1,1,1,1,5,1,60.5,-10.5,10.5
128,16,16,23,10,0,41,0,40,95,0.27,0.4,0.33,40,0.4,0.044,14671,3,0,1,6,1,1,4,1,1,1,1,47.35,-7.35,7.35
143,12,11,11,15,0,47,55,70,85,0.28,0.51,0.21,70,0.51,0.735,24531,4,1,0,6,3,3,1,3,3,3,3,68.95,1.05,1.05
107,16,18,24,20,12,24,20,60,90,0.33,0.2,0.47,90,0.47,0.988,23937,8,0,1,1,9,5,1,7,1,1,9,60.9,29.1,29.1
77,14,13,23,16,4,16,25,60,100,0.45,0.37,0.18,25,0.45,0.513,46315,6,0,0,4,6,2,2,3,1,3,5,51.45,-26.45,26.45
55,16,17,20,18,6,41,0,40,95,0.27,0.4,0.33,40,0.4,0.65,23858,8,0,0,2,8,5,4,1,1,1,9,47.35,-7.35,7.35
31,14,14,28,14,6,41,0,40,95,0.27,0.4,0.33,40,0.4,0.938,24498,10,0,0,2,7,8,7,8,7,2,8,47.35,-7.35,7.35
65,13,11,22,24,12,9,15,70,80,0.45,0.29,0.26,80,0.26,0.724,16897,10,0,0,9,2,1,7,1,1,1,1,47.85,32.15,32.15
85,17,15,22,10,4,14,30,50,95,0.33,0.29,0.38,50,0.29,0.058,16484,7,0,0,3,6,7,5,6,2,3,9,60.5,-10.5,10.5
53,12,17,21,11,5,41,0,40,95,0.27,0.4,0.33,40,0.4,0.978,25178,8,0,1,2,2,1,3,2,1,7,7,47.35,-7.35,7.35
99,16,16,22,12,8,47,55,70,85,0.28,0.51,0.21,70,0.51,0.383,41961,9,0,1,8,2,2,8,2,4,7,2,68.95,1.05,1.05
113,14,16,16,16,9,14,30,50,95,0.33,0.29,0.38,50,0.29,0.841,12285,2,0,1,8,1,1,5,1,1,1,1,60.5,-10.5,10.5
79,16,20,24,8,6,9,15,70,80,0.45,0.29,0.26,80,0.26,0.743,29245,2,0,0,9,1,1,7,1,1,8,1,47.85,32.15,32.15
72,15,19,18,12,17,47,55,70,85,0.28,0.51,0.21,70,0.51,0.599,28641,6,0,1,5,4,2,7,1,1,3,6,68.95,1.05,1.05
97,20,20,28,7,1,12,20,45,70,0.4,0.34,0.26,70,0.26,0.639,25525,10,0,0,9,1,1,9,1,1,9,1,41.5,28.5,28.5
104,13,12,22,24,12,47,55,70,85,0.28,0.51,0.21,70,0.51,0.823,29510,5,1,0,9,1,1,7,1,1,9,1,68.95,1.05,1.05
108,12,15,18,23,0,41,0,40,95,0.27,0.4,0.33,40,0.4,0.453,22362,6,0,0,5,5,3,4,2,2,5,4,47.35,-7.35,7.35
49,19,17,24,8,5,47,55,70,85,0.28,0.51,0.21,70,0.51,0.171,23365,3,1,0,9,1,1,7,1,1,9,1,68.95,1.05,1.05
90,11,14,8,8,6,47,55,70,85,0.28,0.51,0.21,70,0.51,0.494,12642,7,0,1,1,6,1,4,1,1,1,8,68.95,1.05,1.05
73,12,12,16,16,2,49,50,75,90,0.3,0.52,0.18,50,0.3,0.412,13608,10,1,0,8,1,1,9,1,1,8,2,70.2,-20.2,20.2
11,11,13,24,22,15,41,0,40,95,0.27,0.4,0.33,40,0.4,0.105,15470,8,0,0,9,8,7,8,6,5,4,3,47.35,-7.35,7.35
23,15,16,18,25,10,41,0,40,95,0.27,0.4,0.33,40,0.4,0.075,17940,8,0,1,1,9,2,6,8,4,2,9,47.35,-7.35,7.35
114,18,18,23,21,7,32,45,60,90,0.52,0.29,0.19,60,0.29,0.319,23361,6,1,0,6,2,1,5,2,1,7,2,57.9,2.1,2.1
