bayesCor,faceCor,wheelCor,negFacePosWheelBayes,negFacePosWheelFace,negFacePosWheelWheel,posFaceNegWheelBayes,posFaceNegWheelFace,posFaceNegWheelWheel,rmseBayes,rmseFace,rmseWheel,rmseNegFacePosWheelBayes,rmseNegFacePosWheelFace,rmseNegFacePosWheelWheel,rmsePosFaceNegWheelBayes,rmsePosFaceNegWheelFace,rmsePosFaceNegWheelWheel
0.804867737,0.722244954,0.697909292,0.572121287,0.299164949,0.522628744,0.607300414,0.634154155,0.321643161,1.241297654,1.407286918,1.512285006,1.697120056,1.892672476,2.204722117,1.566710979,1.921166503,1.953295981
0.823509741,0.720165792,0.704890112,0.627585417,0.29969031,0.491168578,0.689999717,0.687102608,0.337358929,1.172759139,1.410835556,1.493439913,1.531633192,1.854414235,2.246186439,1.320695109,1.815387762,1.916560592
0.819319665,0.742792615,0.704914011,0.507250235,0.416105788,0.397830425,0.63074639,0.691506285,0.241833984,1.193327353,1.356706077,1.482720479,1.779791636,1.7132941,2.360056304,1.571045209,1.823130868,2.202109842
0.830013652,0.723410268,0.722026728,0.657027844,0.284991563,0.55542861,0.633196338,0.659066219,0.343940533,1.161602671,1.411240839,1.449202983,1.564968726,1.850817049,2.122472388,1.536778128,1.913505435,1.983362099
0.819122654,0.72632227,0.711250352,0.634060543,0.31380959,0.508313852,0.598130366,0.590408041,0.387999925,1.209550499,1.418205045,1.484412246,1.623040398,1.864421982,2.217130249,1.620105727,2.07029436,1.863965469
0.798791032,0.735934829,0.669977434,0.486155002,0.410067707,0.396326099,0.656069261,0.647353622,0.294353312,1.248406202,1.351663435,1.562051155,1.843808695,1.649093194,2.417503673,1.447631105,1.951289277,1.98768914
0.818232771,0.733606414,0.695867442,0.556787636,0.371886986,0.413159318,0.634315443,0.608260732,0.333487662,1.232177814,1.421132182,1.554699289,1.816342105,1.944936015,2.506976482,1.555947313,2.057923589,2.03673456
0.813249622,0.709850909,0.697291347,0.572562458,0.206630534,0.510520154,0.723101345,0.722322499,0.254462225,1.192242128,1.426614867,1.488620447,1.660118879,2.085358694,2.16671856,1.286955629,1.695630024,2.097833051
0.81635074,0.761387229,0.697513996,0.509121882,0.39182394,0.414259144,0.695092071,0.727405478,0.337871482,1.203703502,1.305944066,1.506532641,1.7948923,1.753583248,2.387232564,1.457249765,1.749799706,1.984482004
0.783118225,0.696926757,0.679349942,0.450444305,0.386216149,0.337140686,0.642376328,0.567396007,0.397703895,1.29518065,1.461876678,1.525682345,1.981275117,1.897463329,2.539842051,1.55823875,2.161449141,1.893650304
0.787332739,0.69848334,0.679062638,0.500905745,0.36107519,0.383339349,0.624370546,0.651129934,0.33171549,1.301485154,1.483206736,1.572987447,1.794841562,1.9015273,2.40333801,1.593559314,1.85902866,2.127147983
