"workerid","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","angleProp","happy","sad","anger","surprise","disgust","fear","content","disapp"
50,42,0,40,95,0.26,0.42,0.32,95,0.32,0.722,9,1,1,6,2,1,6,1
2,50,50,75,90,0.32,0.5,0.18,75,0.5,0.824,7,2,1,6,1,1,7,3
43,45,10,50,75,0.6,0.24,0.16,75,0.16,0.126,9,1,1,9,1,1,9,1
61,24,20,60,90,0.33,0.2,0.47,90,0.47,0.735,9,1,1,7,1,1,9,1
81,37,20,50,90,0.28,0.19,0.53,20,0.28,0.089,2,7,7,7,5,2,3,8
77,15,30,50,95,0.3,0.3,0.4,95,0.4,0.912,9,1,1,8,1,1,8,1
70,4,10,35,75,0.5,0.31,0.19,10,0.5,0.969,6,1,1,3,1,1,5,7
89,20,25,45,80,0.26,0.32,0.42,45,0.32,0.026,7,3,1,7,1,1,2,4
78,10,20,45,70,0.43,0.39,0.18,20,0.43,0.432,7,4,4,4,4,4,4,6
56,40,0,40,95,0.27,0.38,0.35,0,0.27,0.155,1,7,5,5,4,1,1,9
34,27,15,50,75,0.25,0.38,0.37,75,0.37,0.396,9,1,1,5,1,1,5,1
12,42,0,40,95,0.26,0.42,0.32,95,0.32,0.986,9,1,1,9,1,1,9,1
96,11,20,45,70,0.41,0.35,0.24,45,0.35,0.103,6,1,1,5,1,1,5,4
98,43,10,50,75,0.55,0.28,0.17,10,0.55,0.161,5,5,1,1,1,1,1,1
91,1,0,30,60,0.38,0.36,0.26,0,0.38,0.537,1,1,2,4,3,1,3,7
3,24,20,60,90,0.33,0.2,0.47,90,0.47,0.022,9,1,1,4,1,1,9,1
22,37,20,50,90,0.28,0.19,0.53,20,0.28,0.646,4,8,1,6,1,1,1,7
64,40,0,40,95,0.27,0.38,0.35,0,0.27,0.167,1,1,1,1,1,1,1,1
53,46,55,70,85,0.26,0.53,0.21,55,0.26,0.739,2,3,2,2,1,1,1,4
30,33,45,60,90,0.5,0.3,0.2,90,0.2,0.433,9,1,1,5,1,1,8,1
7,41,0,40,95,0.27,0.4,0.33,40,0.4,0.544,5,3,2,4,1,1,5,3
29,25,15,50,75,0.21,0.36,0.43,15,0.21,0.616,7,2,1,6,1,1,1,1
92,19,25,45,80,0.31,0.32,0.37,25,0.31,0.605,6,1,1,5,3,1,5,7
62,28,40,65,100,0.36,0.4,0.24,40,0.36,0.282,4,5,5,7,3,4,2,7
35,1,0,30,60,0.38,0.36,0.26,0,0.38,0.418,1,7,1,5,1,1,1,7
18,40,0,40,95,0.27,0.38,0.35,0,0.27,0.653,1,6,2,5,2,1,1,9
68,5,10,35,75,0.515,0.3,0.185,35,0.3,0.143,4,5,4,7,3,4,4,4
27,1,0,30,60,0.38,0.36,0.26,0,0.38,0.453,1,9,1,9,1,1,1,9
80,24,20,60,90,0.33,0.2,0.47,90,0.47,0.879,7,1,1,2,1,1,7,1
14,8,15,70,80,0.49,0.27,0.24,70,0.27,0.214,7,7,1,6,1,1,6,1
87,19,25,45,80,0.31,0.32,0.37,25,0.31,0.491,7,3,3,6,3,1,7,1
83,6,10,35,75,0.5,0.32,0.18,75,0.18,0.77,8,1,1,8,1,1,8,1
59,25,15,50,75,0.21,0.36,0.43,15,0.21,0.308,6,2,2,3,2,2,2,5
10,33,45,60,90,0.5,0.3,0.2,90,0.2,0.111,7,1,1,1,1,1,4,1
69,14,30,50,95,0.33,0.29,0.38,50,0.29,0.561,7,1,1,6,1,1,1,1
24,9,15,70,80,0.45,0.29,0.26,80,0.26,0.185,9,1,1,9,1,1,1,1
79,39,20,50,90,0.32,0.18,0.5,90,0.5,0.666,9,1,1,6,1,1,1,1
73,21,25,45,80,0.3,0.3,0.4,80,0.4,0.92,8,1,1,7,1,1,7,1
54,23,20,60,90,0.34,0.22,0.44,60,0.22,0.276,6,2,1,3,2,1,6,3
75,43,10,50,75,0.55,0.28,0.17,10,0.55,0.065,5,1,1,1,1,1,5,4
52,8,15,70,80,0.49,0.27,0.24,70,0.27,0.887,8,1,1,6,1,1,9,1
66,33,45,60,90,0.5,0.3,0.2,90,0.2,0.515,9,1,1,8,1,1,7,1
5,44,10,50,75,0.58,0.24,0.18,50,0.24,0.024,8,1,1,4,1,1,1,1
48,40,0,40,95,0.27,0.38,0.35,0,0.27,0.677,1,9,8,6,7,2,8,8
57,12,20,45,70,0.4,0.34,0.26,70,0.26,0.108,9,1,1,8,1,1,5,1
19,13,30,50,95,0.31,0.25,0.44,30,0.31,0.838,5,6,6,7,2,1,4,6
