"workerid","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","angleProp","happy","sad","anger","surprise","disgust","fear","content","disapp"
64,1,0,30,60,0.38,0.36,0.26,0,0.38,0.679,4,1,1,9,1,1,1,1
53,1,0,30,60,0.38,0.36,0.26,0,0.38,0.047,1,9,2,6,1,1,1,9
30,39,20,50,90,0.32,0.18,0.5,90,0.5,0.658,8,1,1,3,1,1,7,1
7,19,25,45,80,0.31,0.32,0.37,25,0.31,0.735,4,5,3,7,2,1,2,6
29,23,20,60,90,0.34,0.22,0.44,60,0.22,0.142,9,6,6,6,4,1,4,6
92,18,25,60,100,0.43,0.35,0.22,100,0.22,0.998,9,1,1,8,1,1,6,1
62,16,25,60,100,0.45,0.37,0.18,25,0.45,0.278,4,7,5,5,3,2,3,6
35,17,25,60,100,0.42,0.38,0.2,60,0.38,0.496,7,1,1,4,1,1,7,1
18,24,20,60,90,0.33,0.2,0.47,90,0.47,0.064,8,1,1,4,1,1,8,1
68,10,20,45,70,0.43,0.39,0.18,20,0.43,0.51,4,2,3,4,3,3,2,5
27,15,30,50,95,0.3,0.3,0.4,95,0.4,0.144,9,1,1,9,1,1,9,1
80,25,15,50,75,0.21,0.36,0.43,15,0.21,0.603,3,6,2,5,1,1,2,7
14,31,45,60,90,0.54,0.3,0.16,45,0.54,0.204,5,2,1,3,1,1,3,3
87,18,25,60,100,0.43,0.35,0.22,100,0.22,0.218,6,4,5,3,3,1,6,5
83,33,45,60,90,0.5,0.3,0.2,90,0.2,0.285,9,1,1,8,1,1,7,1
59,48,55,70,85,0.25,0.52,0.23,85,0.23,0.472,9,1,1,8,1,1,8,1
10,39,20,50,90,0.32,0.18,0.5,90,0.5,0.284,7,1,1,1,1,1,6,1
69,30,40,65,100,0.37,0.32,0.31,100,0.31,0.951,9,1,1,7,1,1,1,1
24,28,40,65,100,0.36,0.4,0.24,40,0.36,0.831,6,1,1,3,1,1,6,3
79,40,0,40,95,0.27,0.38,0.35,0,0.27,0.398,1,6,5,4,3,1,6,6
73,48,55,70,85,0.25,0.52,0.23,85,0.23,0.234,9,1,1,6,1,1,8,1
54,27,15,50,75,0.25,0.38,0.37,75,0.37,0.501,9,1,1,4,1,1,9,1
75,7,15,70,80,0.47,0.28,0.25,15,0.47,0.579,4,1,1,1,1,1,4,2
52,35,30,50,90,0.41,0.24,0.35,50,0.24,0.248,6,1,1,7,1,1,9,3
66,20,25,45,80,0.26,0.32,0.42,45,0.32,0.183,5,2,1,3,1,1,3,6
5,8,15,70,80,0.49,0.27,0.24,70,0.27,0.952,9,1,1,1,1,1,1,1
48,19,25,45,80,0.31,0.32,0.37,25,0.31,0.45,5,6,3,2,4,2,4,5
57,38,20,50,90,0.3,0.18,0.52,50,0.18,0.226,6,3,2,7,3,1,4,5
19,43,10,50,75,0.55,0.28,0.17,10,0.55,0.512,3,6,1,1,1,1,3,9
51,50,50,75,90,0.32,0.5,0.18,75,0.5,0.905,8,1,1,4,1,2,8,5
55,33,45,60,90,0.5,0.3,0.2,90,0.2,0.498,8,8,8,9,5,3,3,5
86,16,25,60,100,0.45,0.37,0.18,25,0.45,0.617,5,5,1,1,1,1,5,6
85,24,20,60,90,0.33,0.2,0.47,90,0.47,0.152,9,1,1,9,1,1,9,1
45,24,20,60,90,0.33,0.2,0.47,90,0.47,0.984,8,1,1,9,1,1,5,1
8,3,0,30,60,0.41,0.37,0.22,60,0.22,0.789,9,1,1,9,1,1,8,1
4,40,0,40,95,0.27,0.38,0.35,0,0.27,0.036,1,7,6,4,6,1,1,9
82,36,30,50,90,0.39,0.25,0.36,90,0.36,0.741,9,1,1,4,1,1,9,1
28,35,30,50,90,0.41,0.24,0.35,50,0.24,0.844,5,2,2,4,1,1,1,4
20,32,45,60,90,0.52,0.29,0.19,60,0.29,0.011,7,1,1,7,1,1,7,1
38,45,10,50,75,0.6,0.24,0.16,75,0.16,0.38,9,1,1,9,1,1,5,1
11,38,20,50,90,0.3,0.18,0.52,50,0.18,0.653,7,1,1,5,1,1,8,6
60,25,15,50,75,0.21,0.36,0.43,15,0.21,0.776,2,7,6,5,6,5,1,8
100,26,15,50,75,0.24,0.4,0.36,50,0.4,0.516,7,2,1,8,1,1,7,3
47,17,25,60,100,0.42,0.38,0.2,60,0.38,0.238,9,1,1,9,1,1,5,1
1,20,25,45,80,0.26,0.32,0.42,45,0.32,0.42,5,3,3,5,2,1,5,6
39,3,0,30,60,0.41,0.37,0.22,60,0.22,0.128,8,1,1,8,1,1,9,1
23,49,50,75,90,0.3,0.52,0.18,50,0.3,0.561,6,3,1,4,1,1,4,4
40,3,0,30,60,0.41,0.37,0.22,60,0.22,0.803,9,1,1,7,1,1,7,1
32,14,30,50,95,0.33,0.29,0.38,50,0.29,0.593,7,1,1,5,1,1,5,2
74,42,0,40,95,0.26,0.42,0.32,95,0.32,0.064,9,1,1,8,1,1,9,1
26,10,20,45,70,0.43,0.39,0.18,20,0.43,0.85,5,2,1,2,2,1,5,1
37,14,30,50,95,0.33,0.29,0.38,50,0.29,0.928,7,3,1,4,1,1,6,4
25,24,20,60,90,0.33,0.2,0.47,90,0.47,0.687,9,1,1,5,1,1,9,1
88,9,15,70,80,0.45,0.29,0.26,80,0.26,0.698,1,7,6,3,5,6,2,6
67,42,0,40,95,0.26,0.42,0.32,95,0.32,0.675,9,1,1,7,1,1,8,1
65,23,20,60,90,0.34,0.22,0.44,60,0.22,0.563,5,4,3,6,2,2,7,4
44,25,15,50,75,0.21,0.36,0.43,15,0.21,0.424,2,2,1,6,3,1,2,7
99,29,40,65,100,0.38,0.34,0.28,65,0.34,0.649,7,2,2,4,1,1,5,1
58,10,20,45,70,0.43,0.39,0.18,20,0.43,0.908,5,5,4,1,2,1,2,7
63,2,0,30,60,0.42,0.31,0.27,30,0.31,0.59,7,1,2,4,1,1,4,1
21,23,20,60,90,0.34,0.22,0.44,60,0.22,0.203,6,4,4,6,4,2,3,6
95,34,30,50,90,0.43,0.23,0.34,30,0.43,0.422,6,3,4,2,1,1,6,7
71,20,25,45,80,0.26,0.32,0.42,45,0.32,0.125,7,2,2,5,1,1,7,4
13,24,20,60,90,0.33,0.2,0.47,90,0.47,0.058,9,1,1,6,1,1,9,1
9,14,30,50,95,0.33,0.29,0.38,50,0.29,0.17,6,2,1,5,1,1,4,1
31,41,0,40,95,0.27,0.4,0.33,40,0.4,0.508,6,2,2,2,1,1,5,3
49,2,0,30,60,0.42,0.31,0.27,30,0.31,0.529,5,2,1,1,1,1,1,6
94,9,15,70,80,0.45,0.29,0.26,80,0.26,0.487,6,5,6,6,3,4,5,3
97,45,10,50,75,0.6,0.24,0.16,75,0.16,0.746,8,1,1,8,1,1,6,1
33,31,45,60,90,0.54,0.3,0.16,45,0.54,0.326,7,2,2,7,1,1,1,1
36,33,45,60,90,0.5,0.3,0.2,90,0.2,0.669,9,1,1,8,1,1,9,1
46,15,30,50,95,0.3,0.3,0.4,95,0.4,0.85,9,1,1,9,1,1,1,1
90,8,15,70,80,0.49,0.27,0.24,70,0.27,0.808,7,2,2,5,2,2,5,5
93,28,40,65,100,0.36,0.4,0.24,40,0.36,0.337,5,1,3,3,1,1,5,3
41,22,20,60,90,0.32,0.16,0.52,20,0.32,0.274,1,9,8,1,7,1,1,9
16,32,45,60,90,0.52,0.29,0.19,60,0.29,0.306,6,3,1,6,1,1,6,3
84,38,20,50,90,0.3,0.18,0.52,50,0.18,0.769,5,1,1,3,3,1,3,5
76,28,40,65,100,0.36,0.4,0.24,40,0.36,0.917,5,1,2,4,1,1,5,4
17,25,15,50,75,0.21,0.36,0.43,15,0.21,0.98,4,4,1,6,4,1,2,7
6,12,20,45,70,0.4,0.34,0.26,70,0.26,0.618,8,2,1,7,1,1,5,2
15,43,10,50,75,0.55,0.28,0.17,10,0.55,0.979,4,6,4,4,5,2,4,7
42,41,0,40,95,0.27,0.4,0.33,40,0.4,0.187,7,1,1,9,1,3,9,1
72,22,20,60,90,0.32,0.16,0.52,20,0.32,0.882,3,4,3,7,1,1,4,8
50,23,20,60,90,0.34,0.22,0.44,60,0.22,0.371,5,1,2,6,3,1,3,6
2,35,30,50,90,0.41,0.24,0.35,50,0.24,0.784,6,3,3,5,2,1,6,3
43,50,50,75,90,0.32,0.5,0.18,75,0.5,0.713,7,3,3,4,5,2,5,6
61,14,30,50,95,0.33,0.29,0.38,50,0.29,0.921,4,3,3,3,6,1,5,3
81,22,20,60,90,0.32,0.16,0.52,20,0.32,0.183,3,7,4,6,5,3,4,8
77,25,15,50,75,0.21,0.36,0.43,15,0.21,0.982,3,8,7,5,6,2,3,7
70,20,25,45,80,0.26,0.32,0.42,45,0.32,0.993,7,1,1,3,1,1,7,3
89,18,25,60,100,0.43,0.35,0.22,100,0.22,0.746,9,1,1,8,1,1,5,1
78,4,10,35,75,0.5,0.31,0.19,10,0.5,0.605,5,6,4,4,3,3,2,7
56,3,0,30,60,0.41,0.37,0.22,60,0.22,0.848,9,1,1,9,1,1,9,1
34,36,30,50,90,0.39,0.25,0.36,90,0.36,0.319,9,1,1,5,1,1,5,1
12,23,20,60,90,0.34,0.22,0.44,60,0.22,0.144,7,2,1,6,2,1,7,3
96,23,20,60,90,0.34,0.22,0.44,60,0.22,0.882,4,2,1,4,2,1,5,4
98,33,45,60,90,0.5,0.3,0.2,90,0.2,0.139,9,1,1,9,1,1,9,1
91,41,0,40,95,0.27,0.4,0.33,40,0.4,0.816,4,1,1,2,1,1,5,7
3,2,0,30,60,0.42,0.31,0.27,30,0.31,0.084,7,1,1,2,1,1,7,1
22,10,20,45,70,0.43,0.39,0.18,20,0.43,0.947,3,7,1,3,1,1,3,7
64,30,40,65,100,0.37,0.32,0.31,100,0.31,0.844,9,9,1,9,1,1,9,1
53,6,10,35,75,0.5,0.32,0.18,75,0.18,0.697,9,1,1,9,1,1,1,1
30,31,45,60,90,0.54,0.3,0.16,45,0.54,0.439,3,6,3,1,1,1,2,8
7,10,20,45,70,0.43,0.39,0.18,20,0.43,0.464,3,4,4,2,1,1,3,6
29,26,15,50,75,0.24,0.4,0.36,50,0.4,0.8,7,6,6,7,6,1,4,6
92,46,55,70,85,0.26,0.53,0.21,55,0.26,0.499,7,1,1,7,3,1,5,7
62,7,15,70,80,0.47,0.28,0.25,15,0.47,0.435,2,9,7,4,5,2,3,8
35,46,55,70,85,0.26,0.53,0.21,55,0.26,0.335,7,2,1,3,1,1,7,1
18,50,50,75,90,0.32,0.5,0.18,75,0.5,0.103,8,1,1,2,1,1,5,2
68,8,15,70,80,0.49,0.27,0.24,70,0.27,0.631,6,3,3,5,3,2,5,2
27,29,40,65,100,0.38,0.34,0.28,65,0.34,0.03,9,1,1,9,1,1,5,5
80,41,0,40,95,0.27,0.4,0.33,40,0.4,0.697,5,2,1,2,1,1,4,3
14,17,25,60,100,0.42,0.38,0.2,60,0.38,0.136,7,1,1,4,1,1,4,2
87,23,20,60,90,0.34,0.22,0.44,60,0.22,0.4,9,1,1,9,1,1,9,1
83,15,30,50,95,0.3,0.3,0.4,95,0.4,0.753,9,1,1,7,1,1,9,1
59,19,25,45,80,0.31,0.32,0.37,25,0.31,0.19,7,2,1,5,1,1,7,3
10,4,10,35,75,0.5,0.31,0.19,10,0.5,0.731,2,3,1,1,1,1,1,7
69,45,10,50,75,0.6,0.24,0.16,75,0.16,0.015,9,1,1,7,1,1,1,1
24,37,20,50,90,0.28,0.19,0.53,20,0.28,0.12,5,3,1,5,1,1,3,4
79,19,25,45,80,0.31,0.32,0.37,25,0.31,0.887,5,2,2,4,2,1,4,5
73,46,55,70,85,0.26,0.53,0.21,55,0.26,0.775,3,1,1,6,1,1,3,1
54,11,20,45,70,0.41,0.35,0.24,45,0.35,0.718,7,2,1,3,1,1,7,3
75,19,25,45,80,0.31,0.32,0.37,25,0.31,0.33,4,1,1,4,1,1,4,2
52,48,55,70,85,0.25,0.52,0.23,85,0.23,0.386,9,1,1,8,1,1,9,1
66,12,20,45,70,0.4,0.34,0.26,70,0.26,0.456,3,3,1,2,1,1,3,8
5,48,55,70,85,0.25,0.52,0.23,85,0.23,0.524,9,1,1,6,1,1,1,1
48,39,20,50,90,0.32,0.18,0.5,90,0.5,0.273,9,1,1,6,1,1,1,1
57,26,15,50,75,0.24,0.4,0.36,50,0.4,0.575,7,1,1,5,1,1,5,3
19,42,0,40,95,0.26,0.42,0.32,95,0.32,0.918,9,1,1,9,1,1,8,1
51,38,20,50,90,0.3,0.18,0.52,50,0.18,0.417,8,1,1,6,1,2,6,5
55,37,20,50,90,0.28,0.19,0.53,20,0.28,0.47,3,1,2,3,7,6,6,8
86,1,0,30,60,0.38,0.36,0.26,0,0.38,0.183,1,6,5,3,5,1,1,7
85,30,40,65,100,0.37,0.32,0.31,100,0.31,0.058,9,1,1,9,1,1,9,9
45,44,10,50,75,0.58,0.24,0.18,50,0.24,0.448,7,1,1,8,2,1,7,2
8,14,30,50,95,0.33,0.29,0.38,50,0.29,0.918,7,1,2,7,2,1,7,2
4,4,10,35,75,0.5,0.31,0.19,10,0.5,0.947,3,6,4,5,5,1,3,7
82,5,10,35,75,0.515,0.3,0.185,35,0.3,0.144,4,2,1,4,1,1,5,4
28,25,15,50,75,0.21,0.36,0.43,15,0.21,0.42,3,4,2,2,2,1,1,5
20,49,50,75,90,0.3,0.52,0.18,50,0.3,0.926,4,3,2,7,2,1,3,3
38,48,55,70,85,0.25,0.52,0.23,85,0.23,0.385,9,1,1,9,1,1,7,1
11,21,25,45,80,0.3,0.3,0.4,80,0.4,0.725,8,1,1,8,1,1,9,1
60,7,15,70,80,0.47,0.28,0.25,15,0.47,0.333,3,7,5,6,4,6,4,3
100,28,40,65,100,0.36,0.4,0.24,40,0.36,0.742,5,3,1,7,1,1,5,4
47,40,0,40,95,0.27,0.38,0.35,0,0.27,0.389,1,9,5,1,1,1,1,5
1,26,15,50,75,0.24,0.4,0.36,50,0.4,0.528,6,5,1,5,2,1,6,5
39,19,25,45,80,0.31,0.32,0.37,25,0.31,0.845,3,7,3,4,3,1,3,7
23,47,55,70,85,0.28,0.51,0.21,70,0.51,0.656,6,3,1,5,1,1,5,3
40,27,15,50,75,0.25,0.38,0.37,75,0.37,0.179,9,1,1,7,1,1,9,1
32,39,20,50,90,0.32,0.18,0.5,90,0.5,0.082,9,1,1,4,1,1,7,1
74,11,20,45,70,0.41,0.35,0.24,45,0.35,0.565,7,2,1,3,1,1,8,2
26,41,0,40,95,0.27,0.4,0.33,40,0.4,0.234,6,2,1,2,1,1,6,2
37,41,0,40,95,0.27,0.4,0.33,40,0.4,0.54,8,2,1,2,1,1,5,3
25,14,30,50,95,0.33,0.29,0.38,50,0.29,0.519,5,2,1,4,2,1,7,4
88,5,10,35,75,0.515,0.3,0.185,35,0.3,0.958,5,4,3,3,5,1,5,4
67,30,40,65,100,0.37,0.32,0.31,100,0.31,0.704,9,1,1,7,1,1,8,1
65,36,30,50,90,0.39,0.25,0.36,90,0.36,0.985,9,1,2,8,6,2,9,1
44,26,15,50,75,0.24,0.4,0.36,50,0.4,0.174,6,2,2,5,2,1,5,5
99,20,25,45,80,0.26,0.32,0.42,45,0.32,0.839,7,2,2,4,1,1,7,2
58,11,20,45,70,0.41,0.35,0.24,45,0.35,0.973,6,4,2,2,2,1,4,5
63,46,55,70,85,0.26,0.53,0.21,55,0.26,0.776,8,1,1,6,1,1,5,1
21,46,55,70,85,0.26,0.53,0.21,55,0.26,0.567,6,4,5,7,4,2,2,4
95,19,25,45,80,0.31,0.32,0.37,25,0.31,0.159,6,3,2,3,1,1,7,6
71,8,15,70,80,0.49,0.27,0.24,70,0.27,0.67,7,2,1,7,1,1,7,1
13,38,20,50,90,0.3,0.18,0.52,50,0.18,0.644,6,3,2,6,3,1,5,4
9,39,20,50,90,0.32,0.18,0.5,90,0.5,0.809,9,1,1,4,1,1,9,1
31,26,15,50,75,0.24,0.4,0.36,50,0.4,0.055,6,2,2,3,1,1,6,2
49,38,20,50,90,0.3,0.18,0.52,50,0.18,0.733,6,3,3,6,1,1,4,7
94,39,20,50,90,0.32,0.18,0.5,90,0.5,0.559,7,7,5,6,6,4,3,5
97,11,20,45,70,0.41,0.35,0.24,45,0.35,0.006,6,2,1,4,1,1,5,2
33,24,20,60,90,0.33,0.2,0.47,90,0.47,0.092,9,1,1,9,1,1,1,1
36,2,0,30,60,0.42,0.31,0.27,30,0.31,0.737,8,1,1,8,1,1,7,1
46,47,55,70,85,0.28,0.51,0.21,70,0.51,0.153,7,1,1,7,1,1,1,3
90,50,50,75,90,0.32,0.5,0.18,75,0.5,0.81,6,2,2,5,2,2,5,4
93,21,25,45,80,0.3,0.3,0.4,80,0.4,0.054,7,1,1,5,1,1,7,1
41,19,25,45,80,0.31,0.32,0.37,25,0.31,0.732,6,1,1,3,1,1,5,3
16,22,20,60,90,0.32,0.16,0.52,20,0.32,0.37,2,7,4,3,7,2,2,8
84,33,45,60,90,0.5,0.3,0.2,90,0.2,0.387,9,1,1,6,1,1,9,1
76,37,20,50,90,0.28,0.19,0.53,20,0.28,0.929,4,2,2,4,1,1,4,5
17,22,20,60,90,0.32,0.16,0.52,20,0.32,0.054,2,3,2,7,3,1,2,6
6,25,15,50,75,0.21,0.36,0.43,15,0.21,0.442,5,7,2,4,1,1,4,7
15,22,20,60,90,0.32,0.16,0.52,20,0.32,0.559,2,8,7,6,7,3,4,9
42,46,55,70,85,0.26,0.53,0.21,55,0.26,0.924,6,1,1,1,1,1,9,1
72,18,25,60,100,0.43,0.35,0.22,100,0.22,0.843,9,1,1,8,1,1,9,1
50,43,10,50,75,0.55,0.28,0.17,10,0.55,0.864,5,3,1,2,3,1,4,4
2,27,15,50,75,0.25,0.38,0.37,75,0.37,0.005,8,1,1,7,1,1,6,1
43,31,45,60,90,0.54,0.3,0.16,45,0.54,0.511,6,7,7,3,6,2,5,8
61,40,0,40,95,0.27,0.38,0.35,0,0.27,0.41,1,8,7,7,7,1,1,8
81,15,30,50,95,0.3,0.3,0.4,95,0.4,0.86,9,1,1,7,1,1,8,3
77,31,45,60,90,0.54,0.3,0.16,45,0.54,0.601,6,5,6,3,5,2,3,7
70,16,25,60,100,0.45,0.37,0.18,25,0.45,0.446,5,1,1,2,1,1,4,6
89,48,55,70,85,0.25,0.52,0.23,85,0.23,0.432,9,1,1,6,1,1,4,1
78,39,20,50,90,0.32,0.18,0.5,90,0.5,0.323,6,2,2,2,2,2,7,3
56,14,30,50,95,0.33,0.29,0.38,50,0.29,0.96,4,2,1,1,1,1,5,3
34,13,30,50,95,0.31,0.25,0.44,30,0.31,0.63,4,5,6,7,4,1,4,6
12,13,30,50,95,0.31,0.25,0.44,30,0.31,0.828,3,6,4,3,5,2,3,8
96,27,15,50,75,0.25,0.38,0.37,75,0.37,0.868,6,1,1,7,1,1,5,1
98,38,20,50,90,0.3,0.18,0.52,50,0.18,0.499,8,1,1,6,1,1,8,1
91,22,20,60,90,0.32,0.16,0.52,20,0.32,0.449,2,3,4,9,8,1,4,9
3,1,0,30,60,0.38,0.36,0.26,0,0.38,0.408,1,5,3,1,3,1,1,7
22,14,30,50,95,0.33,0.29,0.38,50,0.29,0.738,4,7,3,6,1,1,3,8
64,20,25,45,80,0.26,0.32,0.42,45,0.32,0.145,9,1,1,9,1,1,9,1
53,7,15,70,80,0.47,0.28,0.25,15,0.47,0.439,1,4,1,2,1,1,1,4
30,5,10,35,75,0.515,0.3,0.185,35,0.3,0.906,5,2,1,1,1,1,3,6
7,35,30,50,90,0.41,0.24,0.35,50,0.24,0.402,5,2,2,4,1,1,6,4
29,40,0,40,95,0.27,0.38,0.35,0,0.27,0.595,1,9,9,9,9,9,9,9
92,26,15,50,75,0.24,0.4,0.36,50,0.4,0.861,8,1,1,8,2,1,5,5
62,23,20,60,90,0.34,0.22,0.44,60,0.22,0.33,6,2,1,3,1,2,5,3
35,15,30,50,95,0.3,0.3,0.4,95,0.4,0.488,9,1,1,5,1,1,9,1
18,48,55,70,85,0.25,0.52,0.23,85,0.23,0.572,9,1,1,7,1,1,9,1
68,26,15,50,75,0.24,0.4,0.36,50,0.4,0.683,5,3,3,5,3,3,5,3
27,36,30,50,90,0.39,0.25,0.36,90,0.36,0.366,9,1,1,9,1,1,9,1
80,9,15,70,80,0.45,0.29,0.26,80,0.26,0.977,7,1,1,4,1,1,7,1
14,5,10,35,75,0.515,0.3,0.185,35,0.3,0.859,5,1,1,3,1,1,3,2
87,34,30,50,90,0.43,0.23,0.34,30,0.43,0.167,6,1,4,5,5,1,6,5
83,46,55,70,85,0.26,0.53,0.21,55,0.26,0.471,5,1,1,6,1,1,6,4
59,33,45,60,90,0.5,0.3,0.2,90,0.2,0.57,9,1,1,8,1,1,8,1
10,12,20,45,70,0.4,0.34,0.26,70,0.26,0.301,6,1,1,1,1,1,6,1
69,42,0,40,95,0.26,0.42,0.32,95,0.32,0.946,9,1,1,6,1,1,1,1
24,5,10,35,75,0.515,0.3,0.185,35,0.3,0.323,6,2,1,6,1,1,7,4
79,20,25,45,80,0.26,0.32,0.42,45,0.32,0.794,6,2,1,4,2,1,4,3
73,34,30,50,90,0.43,0.23,0.34,30,0.43,0.652,3,1,1,1,1,1,3,4
54,1,0,30,60,0.38,0.36,0.26,0,0.38,0.373,1,8,3,3,5,1,2,8
75,17,25,60,100,0.42,0.38,0.2,60,0.38,0.292,6,1,1,5,1,1,6,1
52,30,40,65,100,0.37,0.32,0.31,100,0.31,0.739,9,1,1,7,1,1,9,1
66,3,0,30,60,0.41,0.37,0.22,60,0.22,0.073,7,1,1,5,1,1,8,1
5,19,25,45,80,0.31,0.32,0.37,25,0.31,0.333,4,3,1,1,1,1,1,6
48,25,15,50,75,0.21,0.36,0.43,15,0.21,0.586,2,8,6,8,7,3,6,7
57,4,10,35,75,0.5,0.31,0.19,10,0.5,0.58,3,5,2,3,2,1,3,6
19,19,25,45,80,0.31,0.32,0.37,25,0.31,0.074,3,5,4,7,1,1,4,7
51,35,30,50,90,0.41,0.24,0.35,50,0.24,0.333,8,1,1,7,1,2,6,4
55,1,0,30,60,0.38,0.36,0.26,0,0.38,0.386,1,1,1,9,9,9,9,9
86,33,45,60,90,0.5,0.3,0.2,90,0.2,0.598,9,1,1,9,1,1,9,1
85,21,25,45,80,0.3,0.3,0.4,80,0.4,0.301,9,1,1,9,1,1,8,1
45,33,45,60,90,0.5,0.3,0.2,90,0.2,0.533,8,1,1,9,1,1,6,1
8,13,30,50,95,0.31,0.25,0.44,30,0.31,0.231,6,6,5,4,7,2,2,8
4,15,30,50,95,0.3,0.3,0.4,95,0.4,0.121,9,1,1,7,1,1,9,1
82,14,30,50,95,0.33,0.29,0.38,50,0.29,0.332,5,3,2,3,1,1,6,3
28,20,25,45,80,0.26,0.32,0.42,45,0.32,0.845,3,4,2,2,1,1,2,5
20,13,30,50,95,0.31,0.25,0.44,30,0.31,0.467,3,6,2,3,2,1,2,6
38,21,25,45,80,0.3,0.3,0.4,80,0.4,0.561,9,1,1,7,1,1,5,1
11,18,25,60,100,0.43,0.35,0.22,100,0.22,0.995,9,1,1,8,1,1,9,1
60,44,10,50,75,0.58,0.24,0.18,50,0.24,0.287,6,4,3,6,4,3,5,6
100,15,30,50,95,0.3,0.3,0.4,95,0.4,0.292,9,1,1,9,1,1,9,1
47,41,0,40,95,0.27,0.4,0.33,40,0.4,0.071,9,1,1,5,1,1,5,1
1,44,10,50,75,0.58,0.24,0.18,50,0.24,0.712,8,2,1,8,1,1,4,4
39,43,10,50,75,0.55,0.28,0.17,10,0.55,0.378,3,7,6,2,3,1,1,7
23,33,45,60,90,0.5,0.3,0.2,90,0.2,0.703,9,1,1,7,1,1,7,1
40,14,30,50,95,0.33,0.29,0.38,50,0.29,0.923,7,2,1,5,1,1,6,4
32,44,10,50,75,0.58,0.24,0.18,50,0.24,0.66,6,1,1,4,1,1,5,1
74,20,25,45,80,0.26,0.32,0.42,45,0.32,0.909,7,2,1,4,2,1,7,3
26,47,55,70,85,0.28,0.51,0.21,70,0.51,0.428,7,1,1,2,1,1,7,2
37,33,45,60,90,0.5,0.3,0.2,90,0.2,0.788,9,1,1,8,1,1,9,1
25,32,45,60,90,0.52,0.29,0.19,60,0.29,0.508,5,1,1,5,1,1,6,5
88,33,45,60,90,0.5,0.3,0.2,90,0.2,0.561,6,1,1,1,1,1,4,1
67,16,25,60,100,0.45,0.37,0.18,25,0.45,0.769,3,6,5,3,2,1,3,6
65,4,10,35,75,0.5,0.31,0.19,10,0.5,0.763,1,8,6,5,2,1,1,8
44,6,10,35,75,0.5,0.32,0.18,75,0.18,0.87,9,1,1,6,1,1,7,1
99,25,15,50,75,0.21,0.36,0.43,15,0.21,0.823,4,5,3,6,1,1,5,8
58,35,30,50,90,0.41,0.24,0.35,50,0.24,0.261,7,3,2,2,2,1,7,3
63,11,20,45,70,0.41,0.35,0.24,45,0.35,0.345,5,2,1,3,1,1,6,4
21,21,25,45,80,0.3,0.3,0.4,80,0.4,0.368,9,1,1,7,1,3,4,1
95,28,40,65,100,0.36,0.4,0.24,40,0.36,0.71,6,4,5,3,1,1,5,6
71,32,45,60,90,0.52,0.29,0.19,60,0.29,0.424,7,2,2,6,1,1,7,3
13,19,25,45,80,0.31,0.32,0.37,25,0.31,0.548,2,7,6,5,7,2,3,7
9,32,45,60,90,0.52,0.29,0.19,60,0.29,0.647,7,2,1,6,1,1,5,3
31,39,20,50,90,0.32,0.18,0.5,90,0.5,0.179,8,1,1,3,1,1,8,1
49,42,0,40,95,0.26,0.42,0.32,95,0.32,0.55,6,1,1,5,1,1,6,3
94,42,0,40,95,0.26,0.42,0.32,95,0.32,0.762,7,6,7,3,4,6,5,6
97,1,0,30,60,0.38,0.36,0.26,0,0.38,0.811,1,9,9,5,3,1,1,8
33,37,20,50,90,0.28,0.19,0.53,20,0.28,0.08,7,4,3,6,1,1,1,7
36,5,10,35,75,0.515,0.3,0.185,35,0.3,0.431,9,1,1,5,1,1,5,1
46,23,20,60,90,0.34,0.22,0.44,60,0.22,0.65,7,1,1,6,1,1,1,2
90,17,25,60,100,0.42,0.38,0.2,60,0.38,0.33,6,2,2,5,2,2,5,6
93,37,20,50,90,0.28,0.19,0.53,20,0.28,0.895,5,1,1,3,1,1,5,3
41,39,20,50,90,0.32,0.18,0.5,90,0.5,0.547,9,1,1,7,1,1,9,1
16,27,15,50,75,0.25,0.38,0.37,75,0.37,0.911,7,2,1,7,1,1,8,3
84,36,30,50,90,0.39,0.25,0.36,90,0.36,0.156,9,1,1,7,1,1,9,1
76,25,15,50,75,0.21,0.36,0.43,15,0.21,0.541,4,2,2,4,1,1,3,7
17,10,20,45,70,0.43,0.39,0.18,20,0.43,0.971,3,4,2,3,3,1,3,5
6,20,25,45,80,0.26,0.32,0.42,45,0.32,0.524,5,4,1,4,1,1,6,5
15,49,50,75,90,0.3,0.52,0.18,50,0.3,0.724,3,6,5,6,6,3,4,8
42,23,20,60,90,0.34,0.22,0.44,60,0.22,0.167,7,1,1,9,1,1,8,2
72,27,15,50,75,0.25,0.38,0.37,75,0.37,0.629,9,1,1,5,1,1,9,1
50,40,0,40,95,0.27,0.38,0.35,0,0.27,0.838,2,5,5,6,5,1,2,9
2,43,10,50,75,0.55,0.28,0.17,10,0.55,0.306,2,6,6,3,6,1,2,7
43,34,30,50,90,0.43,0.23,0.34,30,0.43,0.624,3,8,6,4,8,2,3,8
61,44,10,50,75,0.58,0.24,0.18,50,0.24,0.167,7,1,1,3,2,2,6,3
81,46,55,70,85,0.26,0.53,0.21,55,0.26,0.116,5,4,6,4,4,5,6,5
77,43,10,50,75,0.55,0.28,0.17,10,0.55,0.092,2,8,8,2,7,2,2,9
70,33,45,60,90,0.5,0.3,0.2,90,0.2,0.894,9,1,1,9,1,1,9,1
