"workerid","IRIPT","IRIEC","ERQApp","ERQSupp","LSAS","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","angleProp","reactionTime","faceID","faceValence","faceArousal","occludeFace","occludeWheel","happy","sad","anger","surprise","disgust","fear","content","disapp","EV","PE","absPE"
452,9,11,15,14,10,12,20,45,70,0.4,0.34,0.26,70,0.26,0.354,17447,32,0,4,0,1,6,5,4,5,4,4,4,4,41.5,28.5,28.5
441,14,17,17,21,7,41,0,40,95,0.27,0.4,0.33,40,0.4,0.305,81588,35,3,4,0,0,7,2,2,6,1,1,7,1,47.35,-7.35,7.35
137,12,12,17,21,10,41,0,40,95,0.27,0.4,0.33,40,0.4,0.534,13307,35,3,4,1,0,7,5,8,8,6,9,8,8,47.35,-7.35,7.35
362,10,14,12,20,7,9,15,70,80,0.45,0.29,0.26,80,0.26,0.419,18942,29,-3,4,1,0,5,2,1,4,2,2,4,1,47.85,32.15,32.15
12,16,16,16,16,10,1,0,30,60,0.38,0.36,0.26,0,0.38,0.573,15076,29,-3,4,1,0,1,7,7,3,6,1,1,8,26.4,-26.4,26.4
59,13,15,19,15,8,24,20,60,90,0.33,0.2,0.47,90,0.47,0.69,26009,7,3,0,0,0,7,1,1,2,1,1,9,1,60.9,29.1,29.1
231,14,14,23,18,8,24,20,60,90,0.33,0.2,0.47,90,0.47,0.637,16555,32,0,4,1,0,9,1,1,1,1,1,9,1,60.9,29.1,29.1
103,17,10,19,22,15,49,50,75,90,0.3,0.52,0.18,50,0.3,0.113,20488,1,-3,0,0,1,6,1,1,1,1,1,6,1,70.2,-20.2,20.2
140,14,11,23,24,11,16,25,60,100,0.45,0.37,0.18,25,0.45,0.195,38721,1,-3,0,0,0,5,2,3,3,3,1,3,3,51.45,-26.45,26.45
190,14,10,16,24,6,49,50,75,90,0.3,0.52,0.18,50,0.3,0.813,14441,35,3,4,1,0,7,2,2,2,3,1,8,3,70.2,-20.2,20.2
284,13,16,23,16,9,24,20,60,90,0.33,0.2,0.47,90,0.47,0.374,34322,29,-3,4,0,1,1,5,8,6,8,3,1,6,60.9,29.1,29.1
431,13,15,22,18,3,32,45,60,90,0.52,0.29,0.19,60,0.29,0.665,29951,7,3,0,1,0,6,3,3,1,1,1,5,3,57.9,2.1,2.1
99,16,16,18,16,9,32,45,60,90,0.52,0.29,0.19,60,0.29,0.77,14616,7,3,0,0,0,6,1,1,1,1,1,6,1,57.9,2.1,2.1
288,20,20,13,13,5,41,0,40,95,0.27,0.4,0.33,40,0.4,0.508,15218,7,3,0,0,1,6,1,1,1,1,1,6,1,47.35,-7.35,7.35
147,8,10,23,18,6,24,20,60,90,0.33,0.2,0.47,90,0.47,0.221,14170,35,3,4,0,0,8,1,1,7,1,1,7,1,60.9,29.1,29.1
286,15,12,20,17,7,47,55,70,85,0.28,0.51,0.21,70,0.51,0.645,19128,4,0,0,0,0,7,1,1,7,1,1,1,1,68.95,1.05,1.05
122,9,16,16,18,10,1,0,30,60,0.38,0.36,0.26,0,0.38,0.762,42985,32,0,4,0,0,2,7,3,9,1,1,7,2,26.4,-26.4,26.4
207,13,18,20,8,5,16,25,60,100,0.45,0.37,0.18,25,0.45,0.249,15690,7,3,0,0,1,5,1,1,3,1,1,4,1,51.45,-26.45,26.45
202,18,15,24,19,7,47,55,70,85,0.28,0.51,0.21,70,0.51,0.901,16211,7,3,0,0,0,8,1,1,5,1,1,8,1,68.95,1.05,1.05
279,18,12,16,22,12,16,25,60,100,0.45,0.37,0.18,25,0.45,0.358,29269,32,0,4,0,0,2,4,5,7,4,2,2,7,51.45,-26.45,26.45
414,13,14,17,17,6,24,20,60,90,0.33,0.2,0.47,90,0.47,0.586,18557,1,-3,0,1,0,9,1,1,5,1,1,5,2,60.9,29.1,29.1
19,16,16,24,15,2,12,20,45,70,0.4,0.34,0.26,70,0.26,0.385,17682,29,-3,4,1,0,8,1,1,7,1,1,9,1,41.5,28.5,28.5
121,12,12,24,24,0,12,20,45,70,0.4,0.34,0.26,70,0.26,0.526,16279,32,0,4,0,0,9,1,1,9,1,1,8,1,41.5,28.5,28.5
296,15,15,23,14,1,49,50,75,90,0.3,0.52,0.18,50,0.3,0.329,19002,32,0,4,1,0,6,2,1,1,1,1,5,6,70.2,-20.2,20.2
275,14,17,16,15,8,49,50,75,90,0.3,0.52,0.18,50,0.3,0.337,30596,35,3,4,1,0,6,1,1,3,2,2,5,4,70.2,-20.2,20.2
239,14,12,28,14,3,9,15,70,80,0.45,0.29,0.26,80,0.26,0.339,25173,35,3,4,0,0,9,1,1,9,1,1,9,1,47.85,32.15,32.15
204,11,10,9,10,16,41,0,40,95,0.27,0.4,0.33,40,0.4,0.815,19624,1,-3,0,0,0,1,1,1,1,1,1,1,1,47.35,-7.35,7.35
58,14,9,13,19,2,12,20,45,70,0.4,0.34,0.26,70,0.26,0.831,21778,7,3,0,1,0,8,1,1,7,1,1,7,1,41.5,28.5,28.5
206,10,14,18,18,12,41,0,40,95,0.27,0.4,0.33,40,0.4,0.105,15047,4,0,0,1,0,6,1,1,5,1,1,1,1,47.35,-7.35,7.35
237,19,20,21,21,12,41,0,40,95,0.27,0.4,0.33,40,0.4,0.283,31058,7,3,0,1,0,8,1,1,5,1,1,6,1,47.35,-7.35,7.35
175,10,7,16,19,0,12,20,45,70,0.4,0.34,0.26,70,0.26,0.315,32866,1,-3,0,0,1,1,1,2,1,2,1,1,2,41.5,28.5,28.5
