"workerid","IRIPT","IRIEC","ERQApp","ERQSupp","LSAS","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","angleProp","reactionTime","faceID","faceValence","faceArousal","occludeFace","occludeWheel","happy","sad","anger","surprise","disgust","fear","content","disapp","EV","PE","absPE"
442,16,14,22,10,5,49,50,75,90,0.3,0.52,0.18,50,0.3,0.276,23639,27,2,3,0,0,7,1,1,4,1,1,6,2,70.2,-20.2,20.2
248,10,18,10,19,4,47,55,70,85,0.28,0.51,0.21,70,0.51,0.832,20960,17,-1,2,0,1,1,4,1,2,1,1,1,3,68.95,1.05,1.05
383,16,12,18,17,11,24,20,60,90,0.33,0.2,0.47,90,0.47,0.731,17771,37,4,5,0,0,8,1,1,1,1,1,4,1,60.9,29.1,29.1
111,19,20,27,17,3,12,20,45,70,0.4,0.34,0.26,70,0.26,0.604,8331,37,4,5,1,0,9,1,1,4,1,1,9,1,41.5,28.5,28.5
458,9,13,23,23,16,49,50,75,90,0.3,0.52,0.18,50,0.3,0.129,27924,39,4,7,1,0,3,1,1,3,1,1,4,3,70.2,-20.2,20.2
359,17,18,24,15,9,1,0,30,60,0.38,0.36,0.26,0,0.38,0.176,17696,36,4,4,0,1,6,5,3,3,1,1,7,5,26.4,-26.4,26.4
250,15,14,24,14,8,41,0,40,95,0.27,0.4,0.33,40,0.4,0.919,21326,37,4,5,1,0,5,2,1,2,1,1,4,7,47.35,-7.35,7.35
98,12,15,18,18,13,41,0,40,95,0.27,0.4,0.33,40,0.4,0.816,21697,27,2,3,0,0,8,1,1,7,1,1,9,1,47.35,-7.35,7.35
270,16,20,23,19,10,12,20,45,70,0.4,0.34,0.26,70,0.26,0.566,18420,9,-2,1,1,0,9,1,1,1,1,1,9,1,41.5,28.5,28.5
388,16,12,9,10,11,24,20,60,90,0.33,0.2,0.47,90,0.47,0.174,12697,13,2,1,1,0,9,1,1,8,1,1,9,1,60.9,29.1,29.1
166,14,14,19,11,11,47,55,70,85,0.28,0.51,0.21,70,0.51,0.325,26913,37,4,5,0,1,3,4,5,4,6,2,5,4,68.95,1.05,1.05
